date,nikkei225_close,fwd36m_state,fwd36m_loss,fwd36m_mdd,fwd36m_exec,fwd60m_state,fwd60m_loss,fwd60m_mdd,fwd60m_exec,fwd120m_state,fwd120m_loss,fwd120m_mdd,fwd120m_exec
2002-10-31,8640.48,57.47,0,-17.45,56.65,93.71,0,-19.04,92.70,3.33,0,-61.37,2.79
2002-11-29,9215.56,61.38,0,-17.45,62.10,70.15,0,-19.04,70.92,2.50,0,-61.37,2.96
2002-12-30,8578.95,87.80,0,-13.86,84.91,78.43,0,-19.04,75.68,21.17,0,-61.37,19.30
2003-01-31,8339.94,99.64,0,-13.86,95.86,62.98,0,-31.15,59.90,33.56,0,-61.37,31.03
2003-02-28,8363.04,93.77,0,-13.86,90.87,62.66,0,-31.15,60.22,38.22,0,-61.37,36.15
2003-03-31,7972.71,113.98,0,-13.86,113.60,57.11,0,-35.45,56.83,55.50,0,-61.37,55.23
2003-04-30,7831.42,115.88,0,-13.86,115.00,76.85,0,-35.45,76.13,76.99,0,-61.37,76.27
2003-05-30,8424.51,83.60,0,-13.86,80.96,70.20,0,-35.45,67.76,63.51,0,-61.37,61.16
2003-06-30,9083.11,70.70,0,-19.04,67.11,48.42,0,-35.45,45.30,50.58,0,-61.37,47.41
2003-07-31,9563.21,61.63,0,-19.04,60.81,39.88,0,-35.45,39.17,42.93,0,-61.37,42.21
2003-08-29,10343.55,56.05,0,-19.04,51.27,26.39,0,-35.45,22.52,29.44,0,-61.37,25.48
2003-09-30,10219.05,57.82,0,-19.04,55.65,10.18,0,-38.34,8.67,41.46,0,-61.37,39.52
2003-10-31,10559.59,55.30,0,-19.04,51.17,-18.78,1,-60.78,-20.93,35.69,0,-61.37,32.08
2003-11-28,10100.57,61.12,0,-19.04,56.43,-15.72,1,-60.78,-18.18,55.06,0,-61.37,50.55
2003-12-30,10676.64,61.34,0,-19.04,59.13,-17.02,1,-60.78,-18.16,52.59,0,-61.37,50.49
2004-01-30,10783.61,61.20,0,-19.04,61.31,-25.87,1,-60.78,-25.82,38.31,0,-61.37,38.40
