cn_year,pair_type,regime,jp_year,module,S_m,valid_pairs,eligible_pairs,coverage_ratio,module_pass,n_alive,S_total,method_id,calibration_id,coverage_rule_id,metric_id,status
2009,J90_best,J90,1996,EXTERNAL,-1.8291,2,2,1.0,True,5,-1.628,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2009,J90_best,J90,1996,DEMOGRAPHY_LABOR,-0.982,2,2,1.0,True,5,-1.628,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2010,assigned,OTHER,1984,GROWTH,-1.0823,3,3,1.0,True,5,-0.8132,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2010,assigned,OTHER,1984,INFLATION,-0.2439,1,1,1.0,True,5,-0.8132,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2010,assigned,OTHER,1984,MONEY_CREDIT,-0.2297,1,1,1.0,True,5,-0.8132,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2010,assigned,OTHER,1984,EXTERNAL,-0.8991,1,2,0.5,True,5,-0.8132,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2010,assigned,OTHER,1984,DEMOGRAPHY_LABOR,-1.6109,2,2,1.0,True,5,-0.8132,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2010,J90_best,J90,1997,GROWTH,-1.9204,3,3,1.0,True,5,-1.0695,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2010,J90_best,J90,1997,INFLATION,-0.5496,1,1,1.0,True,5,-1.0695,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2010,J90_best,J90,1997,MONEY_CREDIT,-1.4405,1,1,1.0,True,5,-1.0695,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2010,J90_best,J90,1997,EXTERNAL,-0.9977,2,2,1.0,True,5,-1.0695,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2010,J90_best,J90,1997,DEMOGRAPHY_LABOR,-0.4394,2,2,1.0,True,5,-1.0695,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2011,assigned,J90,1991,GROWTH,-1.424,3,3,1.0,True,5,-0.9022,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2011,assigned,J90,1991,INFLATION,-1.1112,1,1,1.0,True,5,-0.9022,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2011,assigned,J90,1991,MONEY_CREDIT,-0.0192,1,1,1.0,True,5,-0.9022,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2011,assigned,J90,1991,EXTERNAL,-1.2194,1,2,0.5,True,5,-0.9022,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
