月份,指标,值,url
2020-04,新订单指数,50.2,PDF提取:2018-2021年12月PMI运行情况报告
2020-04,生产指数,53.7,PDF提取:2018-2021年12月PMI运行情况报告
2020-05,从业人员指数,49.4,PDF提取:2018-2021年12月PMI运行情况报告
2020-05,供应商配送时间指数,50.5,PDF提取:2018-2021年12月PMI运行情况报告
2020-05,制造业PMI,50.6,PDF提取:2018-2021年12月PMI运行情况报告
2020-05,原材料库存指数,47.3,PDF提取:2018-2021年12月PMI运行情况报告
2020-05,新订单指数,50.9,PDF提取:2018-2021年12月PMI运行情况报告
2020-05,生产指数,53.2,PDF提取:2018-2021年12月PMI运行情况报告
2020-06,从业人员指数,49.1,PDF提取:2018-2021年12月PMI运行情况报告
2020-06,供应商配送时间指数,50.5,PDF提取:2018-2021年12月PMI运行情况报告
2020-06,制造业PMI,50.9,PDF提取:2018-2021年12月PMI运行情况报告
2020-06,原材料库存指数,47.6,PDF提取:2018-2021年12月PMI运行情况报告
2020-06,新订单指数,51.4,PDF提取:2018-2021年12月PMI运行情况报告
2020-06,生产指数,53.9,PDF提取:2018-2021年12月PMI运行情况报告
2020-07,从业人员指数,49.3,PDF提取:2018-2021年12月PMI运行情况报告
2020-07,供应商配送时间指数,50.4,PDF提取:2018-2021年12月PMI运行情况报告
2020-07,制造业PMI,51.1,PDF提取:2018-2021年12月PMI运行情况报告
2020-07,原材料库存指数,47.9,PDF提取:2018-2021年12月PMI运行情况报告
2020-07,新订单指数,51.7,PDF提取:2018-2021年12月PMI运行情况报告
2020-07,生产指数,54.0,PDF提取:2018-2021年12月PMI运行情况报告
2020-08,从业人员指数,49.4,PDF提取:2018-2021年12月PMI运行情况报告
2020-08,供应商配送时间指数,50.4,PDF提取:2018-2021年12月PMI运行情况报告
2020-08,制造业PMI,51.0,PDF提取:2018-2021年12月PMI运行情况报告
2020-08,原材料库存指数,47.3,PDF提取:2018-2021年12月PMI运行情况报告
2020-08,新订单指数,52.0,PDF提取:2018-2021年12月PMI运行情况报告
2020-08,生产指数,53.5,PDF提取:2018-2021年12月PMI运行情况报告
2020-09,从业人员指数,49.6,PDF提取:2018-2021年12月PMI运行情况报告
2020-09,供应商配送时间指数,50.7,PDF提取:2018-2021年12月PMI运行情况报告
2020-09,制造业PMI,51.5,PDF提取:2018-2021年12月PMI运行情况报告
2020-09,原材料库存指数,48.5,PDF提取:2018-2021年12月PMI运行情况报告
2020-09,新订单指数,52.8,PDF提取:2018-2021年12月PMI运行情况报告
2020-09,生产指数,54.0,PDF提取:2018-2021年12月PMI运行情况报告
2020-10,从业人员指数,49.3,PDF提取:2018-2021年12月PMI运行情况报告
2020-10,供应商配送时间指数,50.6,PDF提取:2018-2021年12月PMI运行情况报告
2020-10,制造业PMI,51.4,PDF提取:2018-2021年12月PMI运行情况报告
2020-10,原材料库存指数,48.0,PDF提取:2018-2021年12月PMI运行情况报告
2020-10,新订单指数,52.8,PDF提取:2018-2021年12月PMI运行情况报告
2020-10,生产指数,53.9,PDF提取:2018-2021年12月PMI运行情况报告
2020-11,从业人员指数,49.5,PDF提取:2018-2021年12月PMI运行情况报告
2020-11,供应商配送时间指数,50.1,PDF提取:2018-2021年12月PMI运行情况报告
2020-11,制造业PMI,52.1,PDF提取:2018-2021年12月PMI运行情况报告
2020-11,原材料库存指数,48.6,PDF提取:2018-2021年12月PMI运行情况报告
2020-11,新订单指数,53.9,PDF提取:2018-2021年12月PMI运行情况报告
2020-11,生产指数,54.7,PDF提取:2018-2021年12月PMI运行情况报告
2020-12,从业人员指数,49.6,PDF提取:2018-2021年12月PMI运行情况报告
2020-12,供应商配送时间指数,49.9,PDF提取:2018-2021年12月PMI运行情况报告
2020-12,制造业PMI,51.9,PDF提取:2018-2021年12月PMI运行情况报告
2020-12,原材料库存指数,48.6,PDF提取:2018-2021年12月PMI运行情况报告
2020-12,新订单指数,53.6,PDF提取:2018-2021年12月PMI运行情况报告
2020-12,生产指数,54.2,PDF提取:2018-2021年12月PMI运行情况报告
2021-01,从业人员指数,48.4,PDF提取:2018-2021年12月PMI运行情况报告
2021-01,供应商配送时间指数,48.8,PDF提取:2018-2021年12月PMI运行情况报告
2021-01,制造业PMI,51.3,PDF提取:2018-2021年12月PMI运行情况报告
2021-01,原材料库存指数,49.0,PDF提取:2018-2021年12月PMI运行情况报告
2021-01,新订单指数,52.3,PDF提取:2018-2021年12月PMI运行情况报告
2021-01,生产指数,53.5,PDF提取:2018-2021年12月PMI运行情况报告
2021-02,从业人员指数,48.1,PDF提取:2018-2021年12月PMI运行情况报告
2021-02,供应商配送时间指数,47.9,PDF提取:2018-2021年12月PMI运行情况报告
