月份,期间类型,标的证券数量(只),融资买入金额(亿),融券卖出金额(亿),融资融券交易金额(亿),融资余额(亿),融券余额(亿),余额合计(亿),证券公司家数,营业部数量,期末账户数(户),本期新开账户数(户),担保物股票市值(亿),担保物债券基金(亿),担保物小计(亿),担保资金(亿),担保物合计(亿),平均担保比例(%)
2014-03,monthly,713.0,3784.3904774709,579.9661100472,4364.3565875181,3926.4952792197,27.826422886399996,3954.3217021061,86.0,5031.0,3194611.0,225136.0,9392.8082926292,53.59160933289999,9446.3999019621,375.0011832529,9821.401085215,224.66
2014-04,monthly,711.0,3514.9193956310005,546.1445008083,4061.0638964393006,3939.1800538535003,26.3072881527,3965.4873420062,87.0,5101.0,3367513.0,169783.0,9523.6529916958,56.87137556409999,9580.524367259899,366.4128463421,9946.937213602,224.54
2014-05,monthly,710.0,2739.4875036666,427.56238112870005,3167.0498847953,3915.673735636398,28.071542207999997,3943.7452778444,87.0,5133.0,3504940.0,136847.0,9798.750000000002,58.06999999999999,9856.820000000002,358.83038592689996,10215.650385926901,230.70627627239995
2014-06,monthly,710.0,3319.8667536938997,420.9154749661,3740.78222866,4034.9617434095003,29.93080364150001,4064.8925470510003,87.0,5181.0,3660176.0,149452.0,10250.460019835107,59.22990217120001,10309.689922006308,384.4450016107,10694.134923617008,235.5150823946151
2014-07,monthly,710.0,5808.168140595201,667.2643743853,6475.432514980501,4400.7392876484,48.951806182700004,4449.6910938311,89.0,5257.0,3847778.0,186997.0,11591.8956486273,60.3743902326,11652.2700388599,521.9982284755,12174.268267335401,244.3253072890328
2014-08,monthly,710.0,7311.681083656899,699.0473661681,8010.728449824999,5201.044558543,35.8277025101,5236.8722610530995,89.0,5326.0,4088493.0,233306.0,13195.240885581405,70.56923165989998,13265.810117241306,482.75737219440003,13748.567489435707,235.28525065062158
2014-09,monthly,915.0,9749.6066794873,894.2695742814001,10643.8762537687,6070.623627592402,36.91265625820001,6107.5362838506035,89.0,5418.0,4426710.0,328336.0,15928.876834219003,72.76966165030004,16001.646495869305,534.8298397376001,16536.476335606905,243.60179048785483
2014-10,monthly,915.0,9043.1251312103,884.2532213076,9927.378352517899,6968.726242735199,47.5855602032,7016.311802938399,89.0,5530.0,4733834.0,333757.0,17522.4976281941,72.1257180131,17594.6233462072,737.7745880715,18332.397934278702,238.31707513196514
2014-11,monthly,915.0,13867.558988523302,1438.1164149236001,15305.675403446901,8188.452349346,63.5181513816,8251.9705007276,89.0,5661.0,5150751.0,405280.0,20761.1627671585,99.18830448189999,20860.3510716404,925.9099967730001,21786.2610684134,240.29228547502342
2014-12,monthly,914.0,29652.409685518902,3802.7989161876003,33455.2086017065,10172.0634837338,81.83855237510001,10253.9020361089,91.0,5805.0,5864300.0,700423.0,25763.157212442802,211.35415818149997,25974.5113706243,1339.2738261386999,27313.785196762998,240.44094670822653
2015-01,monthly,914.0,21012.852123798097,2880.8699842929996,23893.722108091097,11258.333569305001,58.6949466417,11317.028515946702,91.0,6345.0,6149202.0,281435.0,27937.1290413912,214.0463801952,28151.175421586402,1455.5719832763,29606.7474048627,236.16327802819865
2015-02,monthly,914.0,12824.310870056399,1709.8427790115002,14534.1536490679,11522.9926976139,55.10680457870001,11578.0995021926,91.0,6422.0,6218991.0,74455.0,30479.6168732367,223.6092835007,30703.2261567374,1271.0301288681999,31974.2562856056,247.0055708043917
2015-03,monthly,913.0,33867.228092756995,3973.4657613370996,37840.6938540941,14864.3878090571,79.2912966201,14943.6791056772,91.0,6476.0,6446134.0,224228.0,39858.8240175759,283.16226986469997,40141.986287440595,2152.8786250687,42294.86491250929,255.93039453070506
2015-04,monthly,912.0,46428.9288429811,6114.3000539487,52543.228896929795,18306.9569936152,87.56032508729999,18394.5173187025,91.0,6570.0,6841301.0,379394.0,50264.66502427791,330.2416377666,50594.90666204451,3040.4111569942997,53635.317819038806,261.843040108816
2015-05,monthly,912.0,41484.288826638796,5532.7024482714,47016.99127491019,20728.6312328794,71.66499538929999,20800.2962282687,92.0,6748.0,7192457.0,339484.0,59370.81351408561,431.0560846447,59801.8695987303,4486.5036497682995,64288.373248498596,277.0365453676856
2015-06,monthly,913.0,41584.664275668394,6798.8605208857,48383.52479655409,20443.6895438214,46.9937142744,20490.6832580958,92.0,6848.0,7539491.0,334726.0,52784.62952088311,495.34042980140003,53279.9699506845,4187.4591280997,57467.4290787842,253.39
2015-07,monthly,913.0,30441.5197309113,1962.5959803124,32404.115711223698,13351.998150230802,32.6226813861,13384.620831616901,91.0,6967.0,7640723.0,103194.0,36069.6870735861,229.20880965669997,36298.8958832428,4926.1668484173,41225.0627316601,254.94
2015-08,monthly,913.0,22237.273363942,113.37166418919999,22350.6450281312,10561.0283220222,32.5799221708,10593.608244193001,91.0,7073.0,7684384.0,47895.0,28442.8805999643,158.6352527761,28601.515852740402,4013.1811123793,32614.696965119703,246.95
2015-09,monthly,913.0,11546.833126934,33.8154499428,11580.6485768768,9040.509182472,26.833298083800003,9067.3424805558,91.0,7159.0,7715956.0,30300.0,25471.039820492402,175.9103530838,25646.950173576202,2964.2009986048997,28611.151172181104,245.61
2015-10,monthly,914.0,17544.584590011702,20.9929218388,17565.5775118505,10301.680493420501,29.0410454706,10330.7215388911,91.0,7321.0,7739643.0,35567.0,30783.786571809997,150.8444484217971,30934.631020231795,3088.4801369136,34023.111157145395,267.82
2015-11,monthly,914.0,27056.372048315498,40.4455545706,27096.817602886098,11931.9862476242,29.0546681307,11961.0409157549,91.0,7432.0,7812327.0,77791.0,34300.82874453849,129.66073658000002,34430.48948111849,3081.4858374706,37511.975318589095,266.85
2015-12,monthly,913.0,18700.4975706424,52.0002316379,18752.4978022803,11712.2287215448,29.6015566171,11741.8302781619,93.0,7529.0,7896746.0,92724.0,35798.534095031086,143.3980226115,35941.93211764259,2442.9680474917,38384.900165134284,277.3
2016-01,monthly,913.0,8884.795789149499,26.271625328699997,8911.067414478199,9070.3849696373,20.7138777282,9091.0988473655,93.0,7623.0,7933291.0,44197.0,23292.17,152.79,23444.96,2641.4216003099,26086.3816003099,234.15
2016-02,monthly,913.0,6464.158052850799,18.4459711842,6482.604024034999,8508.0362428995,21.043751626800002,8529.079994526299,93.0,7738.0,7954204.0,24876.0,22117.4205076062,171.918933684,22289.339441290198,2697.0616147330998,24986.401056023296,234.02
2016-03,monthly,909.0,12032.2753311815,37.6752672427,12069.950598424199,8785.7611265859,23.0413428908,8808.8024694767,93.0,7845.0,7996512.0,47830.0,26709.426953676593,164.9434821024006,26874.370435778994,2157.493039775,29031.863475553993,269.54
2016-04,monthly,904.0,10146.3937771056,28.686241733699998,10175.0800188393,8570.1528963522,24.0231594331,8594.1760557853,93.0,7906.0,8039373.0,47306.0,25668.860157838317,163.2800044227,25832.140162261017,2117.3686367410996,27949.508799002117,263.41
2016-05,monthly,896.0,7890.0334095127,32.4236456329,7922.4570551456,8269.765394792601,22.8079969731,8292.573391765702,93.0,8016.0,8080334.0,44735.0,25286.01744917819,157.4016770736,25443.419126251792,2052.7889564814,27496.208082733192,267.34
2016-06,monthly,896.0,10276.478105796501,57.900282958599995,10334.378388755102,8508.6031312257,26.8987635336,8535.5018947593,93.0,8113.0,8130464.0,54698.0,26552.252413333088,133.52116904940002,26685.773582382488,1881.2235473919,28566.997129774387,273.81
2016-07,monthly,896.0,12348.620201097,80.8355973998,12429.4557984968,8636.2949473953,31.688787985700003,8667.983735381,93.0,8195.0,8178458.0,52256.0,26500.298285500085,127.61356260730003,26627.911848107386,1999.6566986292,28627.568546736584,270.85
2016-08,monthly,896.0,10827.2593280644,109.313381471,10936.5727095354,8995.9486355312,38.6384158544,9034.5870513856,93.0,8250.0,8230486.0,58097.0,28346.521134944425,135.29876160790764,28481.819896552333,1771.2168194054998,30253.036715957835,277.07
2016-09,monthly,896.0,7322.6331412875,85.9035689256,7408.5367102130995,8685.366945994101,31.11283286,8716.479778854102,93.0,8302.0,8281043.0,54747.0,27401.121565648893,137.1375566117001,27538.25912226059,1443.2087132425,28981.467835503092,271.63
2016-10,monthly,895.0,6979.7892748784,74.5559308644,7054.345205742799,9075.509754582099,38.8757388965,9114.3854934786,93.0,8348.0,8313821.0,37613.0,28712.05520763068,119.85597034140142,28831.911177972084,1602.6449509969,30434.556128968983,276.45
2016-11,monthly,895.0,13124.155061670801,143.1156922964,13267.270753967201,9720.1282929946,44.543496973900005,9764.671789968499,93.0,8466.0,8377558.0,69419.0,30561.654304676926,114.97662188020126,30676.630926557125,1757.9357927007002,32434.566719257826,279.52
2016-12,monthly,972.0,8515.2324364706,141.0616176903,8656.2940541609,9356.2530250847,34.8539579515,9391.1069830362,93.0,8635.0,8446010.0,73342.0,28617.32112033939,95.35813883219794,28712.67925917159,1394.2592245439002,30106.93848371549,269.81
2017-01,monthly,971.0,4915.7205385604,91.87324249219999,5007.5937810526,8648.9940941662,29.753339368899997,8678.7474335351,93.0,8739.0,8472947.0,31666.0,27469.746239854045,110.93114907610516,27580.67738893015,1276.2690650992,28856.946454029352,272.15
2017-02,monthly,971.0,6606.66345584,123.1409075966,6729.8043634366,9062.0753714573,40.5609552023,9102.6363266596,93.0,8924.0,8507969.0,39595.0,28934.18536764452,112.80106834209846,29046.98643598662,1452.7370251793,30499.72346116592,278.29
2017-03,monthly,970.0,8974.7590373364,162.0272930823,9136.7863304187,9178.72542392,42.2439859967,9220.969409916699,93.0,9065.0,8593127.0,90500.0,28802.278904487182,119.82827796100264,28922.107182448184,1344.6720875098,30266.779269957984,273.48
2017-04,monthly,964.0,8270.9070996588,153.8511781658,8424.7582778246,9045.276351684599,45.9655556774,9091.241907361999,93.0,9144.0,8648533.0,59401.0,27513.722630672986,127.15939368829777,27640.882024361283,1516.0846184721,29156.966642833384,267.53
2017-05,monthly,957.0,6601.1384738504,154.462469752,6755.600943602401,8647.1646858023,48.5679538478,8695.7326396501,93.0,9241.0,8705150.0,59910.0,25669.555081508912,157.64863072380126,25827.203712232713,1550.2503577211999,27377.454069953914,260.24
2017-06,monthly,957.0,7496.7815098440005,158.1661420717,7654.947651915701,8754.5544264589,42.520359951399996,8797.074786410301,93.0,9356.0,8833295.0,126249.0,27183.840000000004,152.99,27336.830000000005,1282.6407068916,28619.470706891607,270.21
2017-07,monthly,971.0,9800.3560965336,172.91418953029998,9973.2702860639,8960.738690697099,48.0281728716,9008.766863568699,93.0,9451.0,8854859.0,27349.0,28064.62,145.72,28210.34,1387.7142922512,29598.0542922512,275.36
2017-08,monthly,971.0,12014.040444231201,196.57456946509998,12210.6150136963,9415.2310897578,46.9191296483,9462.150219406101,93.0,9565.0,8887938.0,39402.0,29611.589999999997,143.95,29755.539999999997,1360.0482234945,31115.5882234945,278.3
2017-09,monthly,971.0,11655.7212611509,164.64664364799998,11820.3679047989,9655.4547458261,37.6050771349,9693.059822961,93.0,9702.0,8933313.0,51359.0,30488.68,145.0,30633.68,1096.3526939744,31730.0326939744,276.57
2017-10,monthly,971.0,7953.772117924101,122.5415394461,8076.3136573702,9945.6106503564,47.114758828199996,9992.7254091846,93.0,9786.0,8969855.0,40588.0,30514.529999999995,149.42,30663.949999999993,1417.8795538231,32081.829553823092,272.71
2017-11,monthly,971.0,11772.938583088799,210.9031930119,11983.841776100699,10237.2167274208,49.4238926238,10286.6406200446,93.0,9911.0,9022701.0,59367.0,29921.119999999995,162.73000000000002,30083.849999999995,1452.0546218151,31535.904621815094,263.0
2017-12,monthly,970.0,7846.7626231236,165.2674331137,8012.0300562372995,10215.9228424298,45.0820440933,10261.0048865231,93.0,10024.0,9059805.0,42574.0,30013.99,162.29,30176.280000000002,1110.0854865331,31286.3654865331,261.84
2018-01,monthly,975.0,12501.7767625927,200.0799407614,12701.8567033541,10741.088887079599,50.219231440600005,10791.308118520199,93.0,10115.0,9093239.0,39372.0,31002.129999999997,155.08,31157.21,1391.5473358409,32548.7573358409,260.67
2018-02,monthly,975.0,6206.9285145583,140.8603041906,6347.7888187489,9901.3643397186,51.8885218601,9953.252861578701,93.0,10167.0,9115449.0,25887.0,28736.699999999997,180.25,28916.949999999997,1464.780593445,30381.730593444998,258.9
2018-03,monthly,975.0,9368.6218457325,209.5407849152,9578.1626306477,9956.603626808499,52.3225057522,10008.926132560699,93.0,10261.0,9151241.0,42163.0,29140.47,214.38,29354.85,1319.4085623165,30674.258562316503,260.81
2018-04,monthly,974.0,6859.7439984975,153.5170311176,7013.2610296151,9787.606319111701,51.5443168413,9839.150635953001,93.0,10332.0,9179855.0,34408.0,27834.48,225.23,28059.74,1294.1764255087,29353.9164255087,252.18
2018-05,monthly,972.0,7364.6170019763,162.53834408,7527.1553460563,9829.0378734027,61.5493044943,9890.587177897,93.0,10388.0,9219362.0,45043.0,27537.67,225.24,27762.94,1365.8496478611999,29128.7896478612,250.18
2018-06,monthly,972.0,5105.9181384639005,152.5258746365,5258.4440131004,9127.7354140309,65.5463669638,9193.2817809947,93.0,10450.0,9250240.0,36427.0,24441.27,253.07,24694.35,1290.6074483556,25984.9574483556,238.48
2018-07,monthly,991.0,5714.743789169001,172.80721388889998,5887.551003057901,8842.4611871571,74.3933908737,8916.8545780308,93.0,10509.0,9272701.0,28370.0,24310.15,260.15,24570.3,1350.6211186205999,25920.921118620598,243.49
2018-08,monthly,990.0,4944.0646389741,157.6079339556,5101.6725729296995,8501.8808211776,73.9392814404,8575.820102618,94.0,10586.0,9295760.0,28790.0,22470.22,277.8,22748.04,1292.4682340747,24040.5082340747,233.35
2018-09,monthly,990.0,3733.8550514254,117.80445437629999,3851.6595058016997,8151.562879933001,76.5547146283,8228.117594561301,94.0,10623.0,9320684.0,29366.0,22505.51,278.12,22783.65,1038.313712699,23821.963712699002,239.09
2018-10,monthly,995.0,4036.0824986328003,153.6335102335,4189.7160088663,7621.1328770835,81.9593727134,7703.0922497968995,94.0,10664.0,9339826.0,23765.0,19951.039999999997,311.4,20262.449999999997,1209.333012092,21471.783012091997,231.24
2018-11,monthly,995.0,6081.9136058135,168.9048417109,6250.8184475244,7621.0636543905,80.3020621546,7701.3657165451,94.0,10724.0,9372092.0,38701.0,20622.539999999997,297.67,20920.219999999994,1271.6348111988,22191.854811198795,238.67
2018-12,monthly,994.0,3817.1998046902004,117.83889424469999,3935.0386989349004,7489.8884832177,67.8612489977,7557.7497322154,94.0,10768.0,9398203.0,31069.0,19556.67,299.06,19855.739999999998,1060.3290141277,20916.069014127697,230.53
2019-01,monthly,998.0,4734.71,127.57,4862.27,7219.04,62.75,7281.79,94.0,10828.0,9417545.0,25442.0,19607.93,269.57,19877.53,1072.57,20950.1,236.39
2019-02,monthly,998.0,8499.9055037728,143.5107628762,8643.416266649,7965.0329998576,80.5051129087,8045.5381127662995,94.0,10864.0,9446712.0,34728.0,24757.47,260.2,25017.7,1749.0960258345,26766.7960258345,274.92
