date,reference_month,fai_sa_mom_pct,source_release_period,revision_status,verification_status,pit_use_status,source_url
2025-09-01,2025-09,-0.77,2026-07 release,LATEST_AVAILABLE_REVISION_AS_OF_2026-08-17,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202608/t20260817_1965054.html
2025-10-01,2025-10,-1.16,2026-07 release,LATEST_AVAILABLE_REVISION_AS_OF_2026-08-17,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202608/t20260817_1965054.html
2025-11-01,2025-11,-0.46,2026-07 release,LATEST_AVAILABLE_REVISION_AS_OF_2026-08-17,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202608/t20260817_1965054.html
2025-12-01,2025-12,-1.97,2026-07 release,LATEST_AVAILABLE_REVISION_AS_OF_2026-08-17,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202608/t20260817_1965054.html
2026-01-01,2026-01,0.58,2026-07 release,LATEST_AVAILABLE_REVISION_AS_OF_2026-08-17,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202608/t20260817_1965054.html
2026-02-01,2026-02,-0.26,2026-07 release,LATEST_AVAILABLE_REVISION_AS_OF_2026-08-17,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202608/t20260817_1965054.html
2026-03-01,2026-03,-0.35,2026-07 release,LATEST_AVAILABLE_REVISION_AS_OF_2026-08-17,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202608/t20260817_1965054.html
2026-04-01,2026-04,-2.74,2026-07 release,LATEST_AVAILABLE_REVISION_AS_OF_2026-08-17,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202608/t20260817_1965054.html
2026-05-01,2026-05,-1.14,2026-07 release,LATEST_AVAILABLE_REVISION_AS_OF_2026-08-17,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202608/t20260817_1965054.html
2026-06-01,2026-06,-0.60,2026-07 release,LATEST_AVAILABLE_REVISION_AS_OF_2026-08-17,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202608/t20260817_1965054.html
2026-07-01,2026-07,-1.42,2026-07 release,LATEST_AVAILABLE_REVISION_AS_OF_2026-08-17,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202608/t20260817_1965054.html
