variable_id,display_name,layer,aggregation,observed_start,observed_end,n_nonnull,n_null,coverage_rate,risk,NOT_APPLICABLE,NOT_RELEASED,SOURCE_GAP,COVERAGE_LOW,STALE_SOURCE,LEGACY_REGIME,RETROSPECTIVE_NOT_AVAILABLE,INSUFFICIENT_HISTORY,HISTORY_SNAPSHOT_ONLY,HANDOFF_TO_QUARTERLY,all_na_segments,major_structural_gaps
afre_yoy,社融存量同比,FEATURE,feature,2015-02,2026-07,104,119,46.6%,,0,85,0,0,34,0,0,0,0,0,"2008-01~2015-01(85个月,PRE_INCEPTION,NOT_RELEASED); 2017-04~2020-01(34个月,INTERNAL_GAP,STALE_SOURCE)","2008-01~2015-01(85个月,PRE_INCEPTION,NOT_RELEASED); 2017-04~2020-01(34个月,INTERNAL_GAP,STALE_SOURCE)"
delta_pmi,PMI环比,FEATURE,feature,2008-03,2026-07,221,2,99.1%,,0,2,0,0,0,0,0,0,0,0,"2008-01~2008-02(2个月,PRE_INCEPTION,NOT_RELEASED)",
ey,盈利收益率,FEATURE,feature,2008-01,2026-07,223,0,100.0%,,0,0,0,0,0,0,0,0,0,0,,
eyg,股债估值差,FEATURE,feature,2008-01,2026-07,223,0,100.0%,,0,0,0,0,0,0,0,0,0,0,,
fr007_p90,FR007月内P90,FEATURE,feature,2008-01,2026-07,223,0,100.0%,,0,0,0,0,0,0,0,0,0,0,,
fr007_vol,FR007月内波动,FEATURE,feature,2008-01,2026-07,223,0,100.0%,,0,0,0,0,0,0,0,0,0,0,,
loans_12m,12M贷款滚动和,FEATURE,feature,2009-01,2026-07,211,12,94.6%,,0,1,0,0,0,0,0,11,0,0,"2008-01~2008-01(1个月,PRE_INCEPTION,NOT_RELEASED); 2008-02~2008-12(11个月,INTERNAL_GAP,INSUFFICIENT_HISTORY)",
m1_m2_gap,M1-M2剪刀差,FEATURE,feature,2008-02,2026-07,222,1,99.6%,,0,1,0,0,0,0,0,0,0,0,"2008-01~2008-01(1个月,PRE_INCEPTION,NOT_RELEASED)",
pmi_gap,PMI缺口,FEATURE,feature,2008-02,2026-07,222,1,99.6%,,0,1,0,0,0,0,0,0,0,0,"2008-01~2008-01(1个月,PRE_INCEPTION,NOT_RELEASED)",
term_spread,期限利差,FEATURE,feature,2008-01,2026-07,223,0,100.0%,,0,0,0,0,0,0,0,0,0,0,,
