dataset,decision_month,feature,na_reason
baseline_2008_monthly,2009-02,inf.ppi_yoy,
baseline_2008_monthly,2009-02,liq.m2_yoy,
baseline_2008_monthly,2009-03,ey,
baseline_2008_monthly,2009-03,eyg,
baseline_2008_monthly,2009-03,term_spread,
baseline_2008_monthly,2009-03,pmi_gap,
baseline_2008_monthly,2009-03,delta_pmi,
baseline_2008_monthly,2009-03,loans_12m,
baseline_2008_monthly,2009-03,val.pb,
baseline_2008_monthly,2009-03,rate.fr007_mean,
baseline_2008_monthly,2009-03,gro.ip_yoy,
baseline_2008_monthly,2009-03,gro.retail_yoy,
baseline_2008_monthly,2009-03,gro.gdp_yoy,
baseline_2008_monthly,2009-03,inf.cpi_yoy,
baseline_2008_monthly,2009-03,inf.ppi_yoy,
baseline_2008_monthly,2009-03,liq.m2_yoy,
baseline_2008_monthly,2009-04,ey,
baseline_2008_monthly,2009-04,eyg,
baseline_2008_monthly,2009-04,term_spread,
baseline_2008_monthly,2009-04,pmi_gap,
baseline_2008_monthly,2009-04,delta_pmi,
baseline_2008_monthly,2009-04,loans_12m,
baseline_2008_monthly,2009-04,val.pb,
baseline_2008_monthly,2009-04,rate.fr007_mean,
baseline_2008_monthly,2009-04,gro.ip_yoy,
baseline_2008_monthly,2009-04,gro.retail_yoy,
baseline_2008_monthly,2009-04,gro.gdp_yoy,
baseline_2008_monthly,2009-04,inf.cpi_yoy,
baseline_2008_monthly,2009-04,inf.ppi_yoy,
baseline_2008_monthly,2009-04,liq.m2_yoy,
baseline_2008_monthly,2009-05,ey,
baseline_2008_monthly,2009-05,eyg,
baseline_2008_monthly,2009-05,term_spread,
baseline_2008_monthly,2009-05,pmi_gap,
baseline_2008_monthly,2009-05,delta_pmi,
baseline_2008_monthly,2009-05,loans_12m,
baseline_2008_monthly,2009-05,val.pb,
baseline_2008_monthly,2009-05,rate.fr007_mean,
baseline_2008_monthly,2009-05,gro.ip_yoy,
baseline_2008_monthly,2009-05,gro.retail_yoy,
baseline_2008_monthly,2009-05,gro.gdp_yoy,
baseline_2008_monthly,2009-05,inf.cpi_yoy,
baseline_2008_monthly,2009-05,inf.ppi_yoy,
baseline_2008_monthly,2009-05,liq.m2_yoy,
baseline_2008_monthly,2009-06,ey,
baseline_2008_monthly,2009-06,eyg,
baseline_2008_monthly,2009-06,term_spread,
baseline_2008_monthly,2009-06,pmi_gap,
baseline_2008_monthly,2009-06,delta_pmi,
baseline_2008_monthly,2009-06,loans_12m,
baseline_2008_monthly,2009-06,val.pb,
baseline_2008_monthly,2009-06,rate.fr007_mean,
baseline_2008_monthly,2009-06,gro.ip_yoy,
baseline_2008_monthly,2009-06,gro.retail_yoy,
baseline_2008_monthly,2009-06,gro.gdp_yoy,
baseline_2008_monthly,2009-06,inf.cpi_yoy,
baseline_2008_monthly,2009-06,inf.ppi_yoy,
baseline_2008_monthly,2009-06,liq.m2_yoy,
baseline_2008_monthly,2009-07,ey,
baseline_2008_monthly,2009-07,eyg,
baseline_2008_monthly,2009-07,term_spread,
baseline_2008_monthly,2009-07,pmi_gap,
baseline_2008_monthly,2009-07,delta_pmi,
baseline_2008_monthly,2009-07,loans_12m,
baseline_2008_monthly,2009-07,val.pb,
baseline_2008_monthly,2009-07,rate.fr007_mean,
baseline_2008_monthly,2009-07,gro.ip_yoy,
baseline_2008_monthly,2009-07,gro.retail_yoy,
baseline_2008_monthly,2009-07,gro.gdp_yoy,
baseline_2008_monthly,2009-07,inf.cpi_yoy,
baseline_2008_monthly,2009-07,inf.ppi_yoy,
baseline_2008_monthly,2009-07,liq.m2_yoy,
baseline_2008_monthly,2009-08,ey,
baseline_2008_monthly,2009-08,eyg,
