decision_month,decision_date,ey,eyg,term_spread,pmi_gap,delta_pmi,loans_12m,val.pb,rate.fr007_mean,gro.ip_yoy,gro.retail_yoy,gro.gdp_yoy,inf.cpi_yoy,inf.ppi_yoy,liq.m2_yoy,mkt.hs300_tri,mkt.hs300_price
2012-08,2012-08-31,10.559662090813093,7.166862090813094,0.5299,0.10000000000000142,-0.10000000000000142,82031.91,1.49,3.494548,9.2,13.1,7.9,1.8,-2.8651,13.9,2407.07,2204.868
2012-09,2012-09-28,10.330578512396695,6.873078512396695,0.5284,-0.7999999999999972,-0.8999999999999986,83587.36,1.53,3.501120,8.9,13.2,7.9,2.0,-3.4784,13.5,2506.22,2293.106
2012-10,2012-10-31,10.570824524312895,6.996924524312895,0.5495999999999999,-0.20000000000000284,0.5999999999999943,85120.59,1.46,3.209533,9.2,14.2,7.7,1.9,-3.5545,14.8,2464.59,2254.82
2012-11,2012-11-30,10.905125408942203,7.371925408942203,0.5057999999999998,0.20000000000000284,0.4000000000000057,84306.3,1.41,3.211195,9.6,14.5,7.7,1.7,-2.7558,14.1,2338.81,2139.661
2012-12,2012-12-31,9.532888465204957,5.959088465204957,0.5148999999999999,0.6000000000000014,0.3999999999999986,83897.67,1.62,3.300138,10.1,14.9,7.7,2.0,-2.1995,13.9,2757.77,2522.952
2013-01,2013-01-31,9.00900900900901,5.40360900900901,0.5493000000000001,0.6000000000000014,0.0,82037.75,1.7,3.081895,10.3,15.2,7.9,2.5,-1.9397,13.8,2936.96,2686.882
2013-02,2013-02-28,9.165902841429881,5.570202841429881,0.5189999999999997,0.3999999999999986,-0.20000000000000284,85377.75,1.67,3.392424,10.3,15.2,7.9,2.0,-1.6372,15.9,2922.14,2673.327
2013-03,2013-03-29,9.900990099009901,6.361790099009901,0.5047000000000001,0.10000000000000142,-0.29999999999999716,84470.75,1.53,3.163576,9.9,15.2,7.9,3.2,-1.6254,15.2,2727.51,2495.083
2013-04,2013-04-26,10.256410256410257,6.825110256410257,0.4647999999999999,0.8999999999999986,0.7999999999999972,84981.33,1.47,3.389532,8.9,12.6,7.9,2.1,-1.919,15.7,2675.93,2447.306
2013-05,2013-05-31,9.950248756218905,6.510348756218905,0.3945000000000003,0.6000000000000014,-0.29999999999999716,86086.54,1.5,3.544182,9.3,12.8,7.9,2.4,-2.6175,16.1,2856.76,2606.426
2013-06,2013-06-28,11.520737327188941,8.00823732718894,0.29330000000000034,0.7999999999999972,0.19999999999999574,84848.22,1.34,6.808421,9.2,12.9,7.9,2.0981,-2.8658,15.8,2438.25,2200.639
2013-07,2013-07-31,11.415525114155251,7.694125114155251,0.1844999999999999,0.10000000000000142,-0.6999999999999957,84278.05,1.37,4.159391,8.9,13.3,7.7,2.7,-2.6965,14.0,2451.31,2193.021
2013-08,2013-08-30,11.415525114155251,7.380125114155251,0.23459999999999992,0.29999999999999716,0.19999999999999574,85873.84,1.36,4.085618,9.7,13.2,7.7,2.7,-2.2712,14.5,2589.87,2313.91
2013-09,2013-09-30,11.086474501108649,7.091074501108649,0.22140000000000004,1.0,0.7000000000000028,85962.39,1.4,3.748581,10.4,13.4,7.7,2.6,-1.625,14.7,2699.12,2409.037
2013-10,2013-10-31,11.574074074074073,7.3934740740740725,0.2017000000000002,1.1000000000000014,0.10000000000000142,87606.16,1.34,4.268479,10.2,13.3,7.8,3.1,-1.3439,14.2,2659.69,2373.718
2013-11,2013-11-29,11.248593925759279,6.8873939257592784,0.19500000000000028,1.3999999999999986,0.29999999999999716,87612.45,1.37,4.503143,10.3,13.3,7.8,3.2,-1.5071,14.3,2732.79,2438.944
2013-12,2013-12-31,11.60092807424594,7.049128074245941,0.2140000000000004,1.3999999999999986,0.0,88638.08,1.34,5.163886,10.0,13.7,7.8,3.0,-1.4242,14.2,2610.75,2330.026
2014-01,2014-01-30,12.195121951219512,7.693221951219512,0.6839,1.0,-0.3999999999999986,88917.0,1.27,4.700286,9.7,13.6,7.8,2.49871692,-1.3557,13.6,2467.83,2202.45
2014-02,2014-02-28,12.210012210012211,7.782412210012211,0.8877000000000002,0.5,-0.5,91386.0,1.27,4.199941,9.7,13.6,7.8,2.5,-1.6394,13.2,2441.65,2178.971
2014-03,2014-03-31,12.330456226880395,7.830056226880395,1.0949,0.20000000000000284,-0.29999999999999716,91634.0,1.23,3.206667,8.6,13.6,7.8,2.0,-2.0182,13.3,2405.3,2146.305
