decision_month,decision_date,ey,eyg,term_spread,pmi_gap,delta_pmi,m1_m2_gap,afre_yoy,loans_12m,fr007_p90,fr007_vol,mkt.hs300_tri,mkt.hs300_price
2022-01,2022-01-28,8.038585209003216,5.336485209003216,0.5610000000000004,0.29999999999999716,0.19999999999999574,-5.5,10.3,199404.0,2.3339999999999996,0.14586604765897074,6052.16,4563.772
2022-02,2022-02-28,7.955449482895784,5.180449482895783,0.5192000000000001,0.10000000000000142,-0.19999999999999574,-11.700000000000001,10.5,203210.0,2.45,0.18167003054989564,6075.87,4581.646
2022-03,2022-03-31,8.532423208191126,5.744623208191126,0.4785999999999997,0.20000000000000284,0.10000000000000142,-4.499999999999999,10.2,198881.0,2.585,0.3011066099463107,5599.84,4222.597
2022-04,2022-04-29,8.920606601248885,6.082006601248885,0.4914999999999998,-0.5,-0.7000000000000028,-4.999999999999999,10.5,203661.0,2.1,0.11822093924593255,5330.21,4016.241
2022-05,2022-05-31,8.8339222614841,6.0913222614841,0.4743999999999997,-2.6000000000000014,-2.1000000000000014,-5.4,10.2,194437.0,1.85712,0.1125223809316454,5440.86,4091.518
2022-06,2022-06-30,8.123476848090982,5.3029768480909825,0.5156999999999998,-0.3999999999999986,2.200000000000003,-6.5,10.5,198373.0,2.5,0.3659898053485201,6008.25,4485.011
2022-07,2022-07-29,8.741258741258742,5.9852587412587415,0.5673999999999997,0.20000000000000284,0.6000000000000014,-5.6000000000000005,10.8,205731.0,1.75,0.06829166790144973,5627.26,4170.102
2022-08,2022-08-31,9.074410163339383,6.451910163339383,0.5255999999999998,-1.0,-1.2000000000000028,-5.3,10.7,201428.0,1.74,0.1400726461716691,5517.09,4078.84
2022-09,2022-09-30,9.551098376313275,6.790998376313276,0.6236999999999999,-0.6000000000000014,0.3999999999999986,-6.1,10.5,202059.0,1.79,0.16977779932269457,5149.23,3804.885
2022-10,2022-10-31,10.40582726326743,7.76252726326743,0.5651000000000002,0.10000000000000142,0.7000000000000028,-5.699999999999999,10.6,209990.0,2.2,0.2548142945477792,4751.83,3508.703
2022-11,2022-11-30,9.460737937559129,6.575737937559129,0.5247999999999999,-0.7999999999999972,-0.8999999999999986,-6.000000000000001,10.3,206669.0,2.1,0.16344077683512012,5218.82,3853.037
2022-12,2022-12-30,9.442870632672333,6.607570632672333,0.4831000000000003,-2.0,-1.2000000000000028,-7.800000000000001,10.0,205096.0,3.450000000000001,0.9759785437372573,5251.97,3871.634
2023-01,2023-01-31,8.880994671403197,5.983294671403197,0.47840000000000016,-3.0,-1.0,-8.100000000000001,9.6,209147.0,2.46,0.2768495965639955,5639.29,4156.858
2023-02,2023-02-28,8.952551477170994,6.050851477170994,0.4131999999999998,0.10000000000000142,3.1000000000000014,-5.8999999999999995,9.4,216473.0,2.65,0.27182788338250097,5522.0,4069.459
2023-03,2023-03-31,8.873114463176575,6.020314463176575,0.46099999999999985,2.6000000000000014,2.5,-7.1000000000000005,9.9,225573.0,3.0500000000000003,0.46592039897585313,5497.03,4050.926
2023-04,2023-04-28,8.718395815170009,5.939595815170009,0.42399999999999993,1.8999999999999986,-0.7000000000000028,-7.6,10.0,232769.0,2.505,0.19108829593176357,5470.07,4029.086
2023-05,2023-05-31,9.149130832570906,6.4641308325709055,0.49860000000000015,-0.7999999999999972,-2.6999999999999957,-7.1000000000000005,10.0,233584.0,2.15,0.11708304948279434,5166.12,3798.543
2023-06,2023-06-30,9.115770282588878,6.4806702825888785,0.49040000000000017,-1.2000000000000028,-0.4000000000000057,-6.8999999999999995,9.5,227573.0,2.8,0.36801203396472937,5275.95,3842.452
2023-07,2023-07-31,8.802816901408452,6.143116901408452,0.4950999999999999,-1.0,0.20000000000000284,-8.200000000000001,9.0,229446.0,2.1,0.0958595202316787,5558.39,4014.63
2023-08,2023-08-31,9.099181073703367,6.541681073703367,0.40779999999999994,-0.7000000000000028,0.29999999999999716,-8.399999999999999,8.9,225722.0,2.24,0.19139285591798533,5223.55,3765.268
2023-09,2023-09-28,9.199632014719413,6.524532014719412,0.3992,-0.29999999999999716,0.4000000000000057,-8.399999999999999,9.0,225790.0,2.15,0.10511420793844337,5121.09,3689.517
2023-10,2023-10-31,9.398496240601503,6.704696240601503,0.3327,0.20000000000000284,0.5,-8.200000000000001,9.0,225473.0,2.72,0.3200502519022443,4962.49,3572.506
2023-11,2023-11-30,9.541984732824426,6.873984732824426,0.2421000000000002,-0.5,-0.7000000000000028,-8.4,9.3,225879.0,3.2660000000000005,0.4989454246674047,4857.64,3496.203
2023-12,2023-12-29,9.633911368015413,7.078611368015413,0.3454999999999999,-0.6000000000000014,-0.10000000000000142,-8.7,9.4,225551.0,3.2,0.633399519975159,4772.18,3431.11
2024-01,2024-01-31,9.84251968503937,7.4095196850393705,0.2993999999999999,-1.0,-0.3999999999999986,-8.399999999999999,9.5,222242.0,2.35,0.10458017492341931,4472.09,3215.352
2024-02,2024-02-29,9.165902841429881,6.828402841429881,0.28489999999999993,-0.7999999999999972,0.20000000000000284,-2.799999999999999,9.5,221329.0,2.165,0.12351943193424861,4890.36,3516.083
2024-03,2024-03-29,8.920606601248885,6.630506601248885,0.38839999999999986,-0.8999999999999986,-0.10000000000000142,-7.499999999999999,9.0,212918.0,2.4,0.16483758239985374,4920.26,3537.484
2024-04,2024-04-30,8.598452278589853,6.295652278589854,0.39959999999999996,0.7999999999999972,1.6999999999999957,-7.200000000000001,8.7,206351.0,2.077,0.07288281527153548,5019.19,3604.394
2024-05,2024-05-31,8.64304235090752,6.350442350907519,0.4939000000000002,0.3999999999999986,-0.3999999999999986,-8.6,8.3,205269.0,1.95,0.05425249610232997,4996.33,3579.925
2024-06,2024-06-28,8.710801393728223,6.505001393728223,0.5723,-0.5,-0.8999999999999986,-11.2,8.4,201247.0,2.31,0.2118258139099115,4870.47,3461.657
2024-07,2024-07-31,8.8339222614841,6.6845222614841,0.6242000000000001,-0.5,0.0,-11.2,8.1,190761.0,1.95,0.050067148586562506,4899.82,3442.084
2024-08,2024-08-30,9.208103130755065,7.037703130755065,0.6506999999999998,-0.6000000000000014,-0.10000000000000142,-12.899999999999999,8.2,189589.0,1.947,0.058443001425187,4740.34,3321.432
2024-09,2024-09-30,7.905138339920948,5.753338339920948,0.6928000000000001,-0.8999999999999986,-0.29999999999999716,-13.6,8.1,186588.0,2.05,0.12493617418124989,5741.03,4017.855
2024-10,2024-10-31,8.583690987124463,6.436090987124462,0.6994000000000002,-0.20000000000000284,0.6999999999999957,-14.2,8.0,180961.0,2.01,0.10200045866196615,5567.99,3891.04
2024-11,2024-11-29,8.51063829787234,6.49003829787234,0.6535,0.10000000000000142,0.30000000000000426,-13.6,7.8,179089.0,1.9,0.040432188968220616,5609.78,3916.583
2024-12,2024-12-31,8.203445447087777,6.528245447087777,0.5382,0.29999999999999716,0.19999999999999574,-10.8,7.8,173185.0,2.2,0.17336808675905008,5642.6,3934.911
2025-01,2025-01-27,8.517887563884157,6.887987563884157,0.37839999999999985,0.10000000000000142,-0.19999999999999574,-8.7,8.0,170495.0,2.5,0.43010742572155003,5485.73,3817.08
