cn_year,jp_year,lag,s,n_mod
2010,1996,14,0.23989036664510105,4
2010,1997,13,0.3156074161878358,4
2010,1998,12,-0.026553571438517776,4
2010,1999,11,-0.04930937441328584,4
2010,2000,10,0.06267442365933626,4
2011,1970,41,0.02307909049710022,3
2011,1971,40,0.1834732521848611,4
2011,1972,39,-0.1695303655540143,4
2011,1973,38,-0.24283326418141943,4
2011,1974,37,-1.343341186859897,4
2011,1975,36,-0.0802149392848279,4
2011,1976,35,0.11480479404438432,4
2011,1977,34,0.27542054101390523,4
2011,1978,33,0.21415778296335874,4
2011,1979,32,0.3803254122596267,4
2011,1980,31,0.32378785949791816,4
2011,1981,30,0.6192125043870425,4
2011,1982,29,0.25480652523410974,4
2011,1983,28,0.25471351833425593,4
2011,1984,27,0.44741739571078176,4
2011,1985,26,0.23194489879509814,4
2011,1986,25,-0.11003477319212362,4
2011,1987,24,-0.037624235617568336,4
2011,1988,23,0.04875622833679388,4
2011,1989,22,0.349610069440705,4
2011,1990,21,0.3499609532802469,4
2011,1991,20,0.49104826638449417,4
2011,1992,19,0.18311596485319848,4
2011,1993,18,0.08600293734839785,4
2011,1994,17,0.22454158601387092,4
2011,1995,16,0.2095080986174725,4
2011,1996,15,0.3210891618914082,4
2011,1997,14,0.4366954498978125,4
2011,1998,13,0.05637530154384515,4
2011,1999,12,0.07177865929669089,4
2011,2000,11,0.18376245736931304,4
2011,2001,10,-0.0446143825149907,4
2012,1970,42,-0.25812159021479947,3
2012,1971,41,-0.20635362611603894,4
2012,1972,40,-0.28055735549244387,4
2012,1973,39,-0.6296415557064272,4
2012,1974,38,-1.6751473546681868,4
2012,1975,37,-0.12312404771832852,4
2012,1976,36,-0.3321674823063498,4
2012,1977,35,0.07345906746334736,4
2012,1978,34,0.26374524430740487,4
2012,1979,33,0.3104951235846527,4
2012,1980,32,-0.05286630714131761,4
2012,1981,31,0.3358277067155465,4
2012,1982,30,0.5459299968001827,4
2012,1983,29,0.6490961124175129,4
2012,1984,28,0.4372977911883253,4
2012,1985,27,0.5822336785553816,4
2012,1986,26,0.3263269790196504,4
2012,1987,25,0.3312478485277891,4
2012,1988,24,0.41762831248215126,4
2012,1989,23,0.47664909056631416,4
2012,1990,22,0.387825548016025,4
2012,1991,21,0.7096228913914313,4
2012,1992,20,0.6558305900461376,4
2012,1993,19,0.558717562541337,4
2012,1994,18,0.6401108131569762,4
2012,1995,17,0.6714744219340202,4
2012,1996,16,0.5937943317134298,4
