quarter,value,variable,country,unit,source_note
2018-Q2,41348.05,property_sales_value,CN,亿元,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2018-Q3,37187.0,property_sales_value,CN,亿元,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2018-Q4,45840.51,property_sales_value,CN,亿元,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2019-Q1,27038.77,property_sales_value,CN,亿元,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2019-Q2,43659.29,property_sales_value,CN,亿元,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2019-Q3,40793.23,property_sales_value,CN,亿元,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2019-Q4,48233.83,property_sales_value,CN,亿元,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2020-Q1,20364.86,property_sales_value,CN,亿元,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2020-Q2,46529.71,property_sales_value,CN,亿元,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2020-Q3,48752.72,property_sales_value,CN,亿元,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2020-Q4,57965.37,property_sales_value,CN,亿元,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2021-Q1,38377.79,property_sales_value,CN,亿元,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2021-Q2,54553.52,property_sales_value,CN,亿元,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2021-Q3,41863.62,property_sales_value,CN,亿元,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2021-Q4,47135.02,property_sales_value,CN,亿元,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2022-Q1,29654.6,property_sales_value,CN,亿元,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2022-Q2,36417.78,property_sales_value,CN,亿元,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2022-Q3,33307.31,property_sales_value,CN,亿元,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2022-Q4,33928.15,property_sales_value,CN,亿元,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2023-Q1,30545.12,property_sales_value,CN,亿元,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
