quarter,value,variable,country,unit,source_note
1997-Q4,2.2545,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1998-Q1,1.8412,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1998-Q2,0.0751,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1998-Q3,-0.2253,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1998-Q4,-0.2616,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1999-Q1,-0.0753,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1999-Q2,-0.0375,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1999-Q3,0.0,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1999-Q4,-0.1499,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
2000-Q1,-0.1885,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
2000-Q2,-0.3002,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
2000-Q3,-0.2635,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
2000-Q4,-0.7129,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
2001-Q1,-0.7931,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
2001-Q2,-0.9033,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
2001-Q3,-0.8302,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
