quarter,value,source_note
2006-Q3,104.8077,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2006-Q4,104.5674,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2007-Q1,104.327,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2007-Q2,104.1835,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2007-Q3,104.0385,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2007-Q4,103.7981,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2008-Q1,103.5577,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2008-Q2,102.8847,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2008-Q3,102.2116,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2008-Q4,101.1539,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2009-Q1,99.2083,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2009-Q2,97.7081,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2009-Q3,99.1416,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2009-Q4,98.2749,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2010-Q1,99.6083,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2010-Q2,99.775,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2010-Q3,100.375,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2010-Q4,100.2417,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2011-Q1,100.4417,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2011-Q2,99.975,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2011-Q3,100.6084,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2011-Q4,99.2416,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2012-Q1,99.9417,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2012-Q2,98.8749,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2012-Q3,99.1416,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2012-Q4,98.8082,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2013-Q1,99.475,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2013-Q2,100.575,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2013-Q3,101.6085,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2013-Q4,101.5751,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2014-Q1,102.5419,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2014-Q2,102.0752,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2014-Q3,102.7086,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2014-Q4,102.1752,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2015-Q1,104.9754,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2015-Q2,104.6421,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2015-Q3,105.6421,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2015-Q4,104.1753,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2016-Q1,106.6756,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2016-Q2,107.7423,H6-B frozen h6b_q_residential_property_price.csv; country=jp
