quarter,value,source_note
1995-Q3,0.799982,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1995-Q4,0.61444,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1996-Q1,0.503582,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1996-Q2,0.445629,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1996-Q3,0.553284,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1996-Q4,0.466764,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1997-Q1,0.373489,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1997-Q2,0.391671,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1997-Q3,0.512042,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1997-Q4,0.453057,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1998-Q1,0.489094,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1998-Q2,0.579015,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1998-Q3,0.602324,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1998-Q4,0.607143,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1999-Q1,0.456373,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1999-Q2,0.519817,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1999-Q3,0.470584,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1999-Q4,0.417022,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2000-Q1,0.313022,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2000-Q2,0.347325,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2000-Q3,0.333031,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2000-Q4,0.261176,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2001-Q1,0.288831,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2001-Q2,0.291264,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2001-Q3,0.489182,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2001-Q4,0.355443,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2002-Q1,0.292218,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2002-Q2,0.330495,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2002-Q3,0.357424,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2002-Q4,0.262246,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2003-Q1,0.247706,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2003-Q2,0.265547,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2003-Q3,0.297171,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2003-Q4,0.210858,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2004-Q1,0.176099,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2004-Q2,0.199688,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2004-Q3,0.213603,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2004-Q4,0.176054,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2005-Q1,0.155747,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2005-Q2,0.148447,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2005-Q3,0.190112,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2005-Q4,0.130821,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2006-Q1,0.133123,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2006-Q2,0.133923,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2006-Q3,0.158304,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2006-Q4,0.140527,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2007-Q1,0.140227,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2007-Q2,0.124678,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2007-Q3,0.166186,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2007-Q4,0.153181,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2008-Q1,0.166662,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2008-Q2,0.138586,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2008-Q3,0.209419,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2008-Q4,0.412211,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2009-Q1,0.540562,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2009-Q2,0.284793,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2009-Q3,0.289808,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2009-Q4,0.199399,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2010-Q1,0.187561,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2010-Q2,0.145021,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2010-Q3,0.191962,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2010-Q4,0.158096,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2011-Q1,0.173692,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2011-Q2,0.169254,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2011-Q3,0.198232,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2011-Q4,0.154622,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2012-Q1,0.13622,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2012-Q2,0.123864,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2012-Q3,0.161803,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2012-Q4,0.121746,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2013-Q1,0.103484,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2013-Q2,0.09264,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2013-Q3,0.116016,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2013-Q4,0.088227,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2014-Q1,0.08348,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2014-Q2,0.083683,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2014-Q3,0.100929,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2014-Q4,0.072245,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2015-Q1,0.077997,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2015-Q2,0.065092,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2015-Q3,0.083649,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
2015-Q4,0.067728,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
