decision_month,feature,value,na_reason,reference_period_used,available_date_used,feature_regime,note
2012-03,m1_m2_gap,-8.7000,,,2012-03-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2012-02)
2012-04,ey,8.9047,,,2012-04-27,,100/PE_ttm
2012-04,eyg,5.3658,,,2012-04-27,,100/PE_ttm - cn10y
2012-04,term_spread,0.6339,,,2012-04-27,,cn10y - cn2y
2012-04,pmi_gap,3.1000,,,2012-04-20,,gro.pmi - 50
2012-04,m1_m2_gap,-9.0000,,,2012-04-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2012-03)
2012-05,ey,9.2251,,,2012-05-31,,100/PE_ttm
2012-05,eyg,5.8808,,,2012-05-31,,100/PE_ttm - cn10y
2012-05,term_spread,0.9312,,,2012-05-31,,cn10y - cn2y
2012-05,pmi_gap,3.3000,,,2012-05-20,,gro.pmi - 50
2012-05,m1_m2_gap,-9.7000,,,2012-05-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2012-04)
2012-06,ey,9.8039,,,2012-06-29,,100/PE_ttm
2012-06,eyg,6.4786,,,2012-06-29,,100/PE_ttm - cn10y
2012-06,term_spread,0.9744,,,2012-06-29,,cn10y - cn2y
2012-06,pmi_gap,0.4000,,,2012-06-20,,gro.pmi - 50
2012-06,m1_m2_gap,-9.7000,,,2012-06-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2012-05)
2012-07,ey,10.0908,,,2012-07-31,,100/PE_ttm
2012-07,eyg,6.7993,,,2012-07-31,,100/PE_ttm - cn10y
2012-07,term_spread,0.9206,,,2012-07-31,,cn10y - cn2y
2012-07,pmi_gap,0.2000,,,2012-07-20,,gro.pmi - 50
2012-07,m1_m2_gap,-8.9000,,,2012-07-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2012-06)
2012-08,ey,10.5597,,,2012-08-31,,100/PE_ttm
2012-08,eyg,7.1669,,,2012-08-31,,100/PE_ttm - cn10y
2012-08,term_spread,0.5299,,,2012-08-31,,cn10y - cn2y
2012-08,pmi_gap,0.1000,,,2012-08-20,,gro.pmi - 50
2012-08,m1_m2_gap,-9.3000,,,2012-08-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2012-07)
2012-09,ey,10.3306,,,2012-09-28,,100/PE_ttm
2012-09,eyg,6.8731,,,2012-09-28,,100/PE_ttm - cn10y
2012-09,term_spread,0.5284,,,2012-09-28,,cn10y - cn2y
2012-09,pmi_gap,-0.8000,,,2012-09-20,,gro.pmi - 50
2012-09,m1_m2_gap,-9.0000,,,2012-09-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2012-08)
2012-10,ey,10.5708,,,2012-10-31,,100/PE_ttm
2012-10,eyg,6.9969,,,2012-10-31,,100/PE_ttm - cn10y
2012-10,term_spread,0.5496,,,2012-10-31,,cn10y - cn2y
2012-10,pmi_gap,-0.2000,,,2012-10-20,,gro.pmi - 50
2012-10,m1_m2_gap,-7.5000,,,2012-10-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2012-09)
2012-11,ey,10.9051,,,2012-11-30,,100/PE_ttm
2012-11,eyg,7.3719,,,2012-11-30,,100/PE_ttm - cn10y
2012-11,term_spread,0.5058,,,2012-11-30,,cn10y - cn2y
2012-11,pmi_gap,0.2000,,,2012-11-20,,gro.pmi - 50
2012-11,m1_m2_gap,-8.0000,,,2012-11-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2012-10)
2012-12,ey,9.5329,,,2012-12-31,,100/PE_ttm
2012-12,eyg,5.9591,,,2012-12-31,,100/PE_ttm - cn10y
2012-12,term_spread,0.5149,,,2012-12-31,,cn10y - cn2y
2012-12,pmi_gap,0.6000,,,2012-12-20,,gro.pmi - 50
2012-12,m1_m2_gap,-8.4000,,,2012-12-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2012-11)
2013-01,ey,9.0090,,,2013-01-31,,100/PE_ttm
2013-01,eyg,5.4036,,,2013-01-31,,100/PE_ttm - cn10y
2013-01,term_spread,0.5493,,,2013-01-31,,cn10y - cn2y
2013-01,pmi_gap,0.6000,,,2013-01-20,,gro.pmi - 50
2013-01,m1_m2_gap,-7.3000,,,2013-01-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2012-12)
2013-02,ey,9.1659,,,2013-02-28,,100/PE_ttm
2013-02,eyg,5.5702,,,2013-02-28,,100/PE_ttm - cn10y
2013-02,term_spread,0.5190,,,2013-02-28,,cn10y - cn2y
2013-02,pmi_gap,0.4000,,,2013-02-20,,gro.pmi - 50
2013-02,m1_m2_gap,-0.6000,,,2013-02-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2013-01)
2013-03,ey,9.9010,,,2013-03-29,,100/PE_ttm
2013-03,eyg,6.3618,,,2013-03-29,,100/PE_ttm - cn10y
2013-03,term_spread,0.5047,,,2013-03-29,,cn10y - cn2y
2013-03,pmi_gap,0.1000,,,2013-03-20,,gro.pmi - 50
